# N elementos procesados,Tiempo Promedio[ms],STD Tiempo [ms] 
100000,0.31090,0.08078
143845,0.45210,0.09284
206914,0.67550,0.14984
297635,0.95638,0.17675
428133,1.38589,0.24853
615848,1.96938,0.30677
885867,2.81975,0.38125
1274275,4.07212,0.37250
1832981,5.81557,0.53245
2636651,8.20480,0.74628
3792690,11.35093,0.36271
5455595,16.99692,1.60676
7847600,25.77631,2.10890
11288379,36.27125,2.37369
16237767,53.26498,5.94728
23357215,76.53626,8.03815
33598183,108.18120,6.27769
48329302,154.77292,4.93257
69519280,218.78100,11.75183
100000000,317.87811,20.54968
