# N elementos procesados,Tiempo Promedio[ms],STD Tiempo [ms] 
100000,9.24546,1.15112
143845,13.36261,1.63109
206914,19.40537,1.92554
297635,27.49411,3.65130
428133,39.42576,5.54546
615848,57.36103,6.61719
885867,81.21319,10.47747
1274275,117.30758,14.56497
1832981,169.61494,19.26926
2636651,240.28940,32.35466
3792690,360.11975,20.00719
5455595,501.04022,48.77699
7847600,708.29849,57.01304
11288379,1036.48374,87.39534
16237767,1487.95351,91.62500
23357215,2174.92845,99.45292
33598183,3089.65810,99.78990
48329302,4437.58898,140.32013
